Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.003629,4.485667705535889,0.160050,198.72026653075412,0.026297,32.5,0.189976
0.003648,4.485667705535889,0.160876,198.13274313508532,0.026432,32.5,0.190956
0.003666,4.485667705535889,0.161702,198.298186336038,0.026568,32.5,0.191936
0.003685,4.485667705535889,0.162513,194.57504664596152,0.026703,32.5,0.192901
0.003704,4.485667705535889,0.163336,197.70266107201897,0.026839,32.5,0.193879
0.003722,4.485667705535889,0.164163,198.48662231817892,0.026974,32.5,0.194860
0.003741,4.485667705535889,0.164991,198.58400775625813,0.027110,32.5,0.195841
0.003760,4.485667705535889,0.165821,198.1731364956447,0.027246,32.5,0.196827
0.003779,4.485667705535889,0.166648,198.46312876947624,0.027381,32.5,0.197808
0.003797,4.485667705535889,0.167474,198.20892009548888,0.027517,32.5,0.198788
0.003816,4.485667705535889,0.168298,197.68867086226237,0.027652,32.5,0.199766
0.003835,4.485667705535889,0.169110,194.91755131868496,0.027787,32.5,0.200732
0.003853,4.485667705535889,0.169939,198.29376921880402,0.027923,32.5,0.201716
0.003872,4.485667705535889,0.170764,198.0600412990822,0.028059,32.5,0.202695
0.003891,4.485667705535889,0.171591,198.56726608293616,0.028194,32.5,0.203676
0.003910,4.485667705535889,0.172420,197.7888028615051,0.028330,32.5,0.204661
0.003928,4.485667705535889,0.173247,198.2959193834595,0.028466,32.5,0.205641
0.003947,4.485667705535889,0.174072,197.21429507912652,0.028602,32.5,0.206621
0.003966,4.485667705535889,0.174903,199.42691275590283,0.028737,32.5,0.207606
0.003984,4.485667705535889,0.175716,195.22264149192682,0.028873,32.5,0.208573
0.004003,4.485667705535889,0.176542,197.24736937817565,0.029009,32.5,0.209554
0.004022,4.485667705535889,0.177367,198.0033324989048,0.029144,32.5,0.210533
0.004041,4.485667705535889,0.178192,198.06002900287274,0.029280,32.5,0.211512
0.004059,4.485667705535889,0.179020,198.80675912446125,0.029415,32.5,0.212495
0.004078,4.485667705535889,0.179846,197.50272609658268,0.029551,32.5,0.213475
0.004097,4.485667705535889,0.180671,198.09848127749183,0.029686,32.5,0.214454
0.004115,4.485667705535889,0.181498,198.3225199799742,0.029822,32.5,0.215435
0.004134,4.485667705535889,0.182308,194.47805769945188,0.029957,32.5,0.216399
0.004153,4.485667705535889,0.183134,198.24862239415512,0.030093,32.5,0.217379
0.004171,4.485667705535889,0.183960,198.3841977684027,0.030228,32.5,0.218360
0.004190,4.485667705535889,0.184787,198.3839335013283,0.030363,32.5,0.219341
0.004209,4.485667705535889,0.185612,198.1295032874146,0.030499,32.5,0.220320
0.004228,4.485667705535889,0.186445,199.7015011890902,0.030634,32.5,0.221306
0.004246,4.485667705535889,0.187271,198.371824661474,0.030770,32.5,0.222287
0.004265,4.485667705535889,0.188094,197.63735006393557,0.030905,32.5,0.223264
0.004284,4.485667705535889,0.188907,194.9542388162327,0.031041,32.5,0.224231
